Model,Class,Precision,Recall,F1
CatBoost,Low,0.8405797101449275,0.8529411764705882,0.8467153284671532
CatBoost,Medium,0.8498727735368957,0.8329177057356608,0.8413098236775819
CatBoost,Very_High,0.9166666666666666,0.8705035971223022,0.8929889298892989
MLP_DNN,High,0.80625,0.8199152542372882,0.8130252100840336
MLP_DNN,Low,0.6910112359550562,0.9044117647058824,0.7834394904458599
MLP_DNN,Medium,0.7958656330749354,0.7680798004987531,0.7817258883248731
MLP_DNN,Very_High,0.9214876033057852,0.802158273381295,0.8576923076923076
CNN_DNN,High,0.717391304347826,0.8389830508474576,0.7734375
CNN_DNN,Low,1.0,0.3897058823529412,0.5608465608465608
CNN_DNN,Medium,0.7091295116772823,0.8329177057356608,0.7660550458715596
CNN_DNN,Very_High,0.8862559241706162,0.6726618705035972,0.7648261758691206
LSTM_DNN,High,0.4808743169398907,0.7457627118644068,0.584717607973422
LSTM_DNN,Low,0.3078947368421053,0.8602941176470589,0.45348837209302323
LSTM_DNN,Medium,0.40804597701149425,0.1770573566084788,0.24695652173913044
LSTM_DNN,Very_High,0.0,0.0,0.0
XGBoost_Tuned,High,0.8131212723658051,0.8665254237288136,0.838974358974359
XGBoost_Tuned,Low,0.8796992481203008,0.8602941176470589,0.8698884758364313
XGBoost_Tuned,Medium,0.8382352941176471,0.8528678304239401,0.8454882571075402
XGBoost_Tuned,Very_High,0.9094650205761317,0.7949640287769785,0.8483685220729367
LightGBM_Tuned,High,0.8467908902691511,0.8665254237288136,0.856544502617801
LightGBM_Tuned,Low,0.8666666666666667,0.8602941176470589,0.8634686346863468
LightGBM_Tuned,Medium,0.8589420654911839,0.8503740648379052,0.8546365914786967
LightGBM_Tuned,Very_High,0.8970588235294118,0.8776978417266187,0.8872727272727273
Stacking_Ensemble,High,0.8007889546351085,0.8601694915254238,0.8294177732379979
Stacking_Ensemble,Low,0.8666666666666667,0.8602941176470589,0.8634686346863468
Stacking_Ensemble,Medium,0.844059405940594,0.8503740648379052,0.8472049689440994
Stacking_Ensemble,Very_High,0.9087136929460581,0.7877697841726619,0.8439306358381503
XGBoost_Calibrated,High,0.8784403669724771,0.8114406779661016,0.8436123348017621
XGBoost_Calibrated,Low,0.8561151079136691,0.875,0.8654545454545455
XGBoost_Calibrated,Medium,0.847457627118644,0.8728179551122195,0.85995085995086
XGBoost_Calibrated,Very_High,0.842809364548495,0.9064748201438849,0.8734835355285961
