Model,Dataset,R²,MSE,RMSE,MAE
NuSVR,Test,-0.013453168770769519,326488564362.02466,571391.7783465427,471408.8840585339
DecisionTreeRegressor,Train,1.0,0.0,0.0,0.0
DecisionTreeRegressor,Validation,0.8878053153886049,34914459530.11203,186854.11296011665,95451.29549857549
DecisionTreeRegressor,Test,0.8686406271742807,42318021563.22985,205713.44526605413,107376.92174825177
RandomForestRegressor,Train,0.9910247952540756,3019553521.5230565,54950.4642521158,30171.268563170244
RandomForestRegressor,Validation,0.9407392898542385,18441654997.083035,135800.05521752572,76422.87344830352
RandomForestRegressor,Test,0.931240336541466,22151239445.84605,148832.92460287828,80997.27711076142
ExtraTreesRegressor,Train,1.0,1.1358357082386019e-17,3.3702161773966396e-09,2.5857181708735833e-09
ExtraTreesRegressor,Validation,0.9266302013883422,22832337139.96306,151103.72973544715,85159.51014172495
ExtraTreesRegressor,Test,0.9219941543480709,25129939244.883427,158524.25443724197,88769.00013061381
AdaBoostRegressor,Train,0.3772379483660959,209517598686.08954,457730.9238909794,399349.8850546866
AdaBoostRegressor,Validation,0.3087298128444349,215120039397.70096,463810.34852372686,396692.0499573687
AdaBoostRegressor,Test,0.3262307304998713,217057845679.40244,465894.67230201553,399090.64579684153
GradientBoostingRegressor,Train,0.9188836592496216,27290199978.67934,165197.4575430244,127410.97898216944
GradientBoostingRegressor,Validation,0.8901014702121615,34199906920.604572,184932.16843103466,138746.04170445984
GradientBoostingRegressor,Test,0.8962261718525198,33431212427.22732,182842.04228575912,138907.1152310901
HistGradientBoostingRegressor,Train,0.9809886910260951,6396028456.842155,79975.17400320024,46433.575769760326
HistGradientBoostingRegressor,Validation,0.9425262866230694,17885549985.674583,133736.86846070003,76932.39942448917
HistGradientBoostingRegressor,Test,0.9421141928553749,18648176999.14893,136558.3281940319,80138.5908080603
PoissonRegressor,Train,0.17644375102528442,277071358499.4424,526375.6819035644,435632.1044854183
PoissonRegressor,Validation,0.14875436156152722,264903649369.72986,514687.9145363041,419357.14307433774
PoissonRegressor,Test,0.16115720242571197,270237036248.6876,519843.2804689194,425691.3518327935
GammaRegressor,Train,0.11529942904633195,297642315706.4659,545566.0507275594,455695.98360972543
GammaRegressor,Validation,0.10801771938872817,277580701312.6201,526859.2803705939,436552.76116116927
GammaRegressor,Test,0.10958391507163168,286851606182.97174,535585.2930980944,447683.43866362964
TweedieRegressor,Train,0.1709480072696603,278920307117.3799,528129.0629357372,437699.617671569
TweedieRegressor,Validation,0.14566046409942313,265866455746.031,515622.39647442685,420289.6940607307
TweedieRegressor,Test,0.15717132777633047,271521103961.0437,521076.86953178386,427590.5829769638
